bando,piattaforma,commento_p,target
bando accumulo anno 2017,bandi online,molto complicata procedura fase richiesta adesione bando dati richiesti complicatissimi soprattutto richiesta firma digitale dopo essersi gia autenticati attraverso spid privato cittadino operazioni veramente difficili complicate inoltre necessario avere disposizione scanner bisogna saper unire pdf non non_poteva non_tenere non_separata non_fattura non_copia non_bonifico non_tratta non_inutili non_complicazioni non_ripeto non_operazione non_tremenda non_firma non_digitale,0
turismoeattrattivita,siage,funzionale rendicontazione documentale non non_specifica non_maniera non_esaustiva non_formati non_digitale,1
alvia,bandi online,tempi rapidi risposta soluzione problemi,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,personale call center gentile preparato,1
asd 2018,bandi online,insieme buono rendicontazione facile veloce poter inserire file distinti fatture ricevute pagamenti anziché doverli riunire unico file,1
dote impresa collocamento mirato,sintesi,sito poco chiaro riguarda presentazione bando tempistiche lunghe validazione liquidazione ecc,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,efficienza assistenza comprensione necessità,1
alvia,bandi online,buoni strumenti messi disposizione assistenza fornita,1
proposte di promozione del cinema 2017,siage,sufficientemente chiaro andrebbe allargato altre forme cinema,0
rinnova autoveicoli,bandi online,chiaro semplice compilazione,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,esposizione chiara semplice procedure documenti necessari presentazione pratica,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,servizio reso disabili vista,1
fondo sale privati,bandi online,stato abbastanza intuitivo tranne alcuni punti rendicontazione,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,comprensibile,1
asd 2019,bandi online,trovato ottima assistenza domande chiare,1
rinnova autoveicoli,bandi online,opportuno allegare crono programma azioni fare modo schematico diverse tempistiche,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,chiarezzatrasparenzadifficolta media recupero documentila domanda stata accolta quindi bene,1
formazione continua vi,bandi online,non non_sempre non_chiaro non_deve non_firmare non_documenti non_quando non_deleghe,0
bando pro loco,bandi online,assai complicato,0
rinnova autoveicoli,bandi online,bando trovato semplice molto intuitivo gestione po lenta dare conferma adesione accettata dovuto covid complesso buon servizio,1
bando pro loco,bandi online,bisogna continuamente guardare piattaforma non non_farsi non_sfuggire non_bandi non_bello non_ricevere non_newsletter,0
bando accumulo anno 2017,bandi online,difficoltà firma digitale mac,0
bando accumulo anno 2017,bandi online,sistema po complicato over 65,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,competenza disponibilità,1
asd 2019,bandi online,efficiente semplice applicazione,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,visto volte problematiche burocratiche bando stato spiegato chiarezza compilazione stata semplice grazie aiuto dato persone preposte,1
faber iii ed,bandi online,stati necessari manuali capire significato alcuni campi compilare capire tipo file allegare,0
rinnova autoveicoli,bandi online,molto semplice immediato,1
rinnova autoveicoli,bandi online,maschere fase nacigazione non non_intuitive non_volte non_pe non_rseguire non_istuzioni non_va non_tentativi,0
bando pro loco,bandi online,gestione stata semplice immediata,1
faber ii ed,bandi online,soddisfatti sino dora attività realizzate,1
promozione culturale 2019,bandi online,modalità presentazione erogazione contributo molto efficienti assistenza diretta pronta efficace,1
faber i ed,bandi online,personalmente qualche problema inizio durante piccoli problemi riscontrato stati risolti grazie supporto tecnico telefonico quindi direi bando gestione complesso stati ottimi,1
criteri di individuazione soggetti dello spettacolo,bandi online,efficiente rapido,1
asd 2019,bandi online,poca pubblicità,0
garanziagiovanifaseii,bandi online,dovuto rifare volte procedura inserimento documenti firmati digitalmente perchè non non_salvava non_bozze,0
musei conto capitale 2019,bandi online,semplice immediato caricano facilmente documenti,1
autoimprenditorialitã -articolo43,bandi online,tempo risposta richieste ticket lunghissimi discordanti necessità aziendali,0
faber i ed,bandi online,tempi risposta rendicontazione troppo lunghi,0
contributi asd ssd linea 1 e linea 2 2017,siage,ottima perchè associazioni dilettantistiche sportive bisogno sostegno migliorare,1
adeguamento sale da spettacolo ed 2019,bandi online,passaggi molto chiari guidati,1
bando accumulo anno 2017,bandi online,troppo complicato persone normali ritengo perito industriale meccanico 70 anni non non_aiutava non_azienda non_venduto non_accumulatore non non_credo non_riuscito non_aderire non_bando non_comunque non_ritengo non_necessario non_semplificare non_possibile non_pratica non_burocratica non_dando non_possibilità non_comunicare non_firma non_mail non_pec non_posto non_firma non_digitale non_semplificare non_semplificare non_semplificare non_requisiti non_può non_aderire,0
sostegno manifestazioni sportive,bandi online,procedura informatica buona puo essere migliorata mancano note margine singole scelte soprattutto quando riguardano parte fiscale utilizzatore comune ostica ottima assistenza telefonica referenti indicati,1
innodrivermisuraa,bandi online,troppo complesso iter,0
rlo12019008323_arche misura b,bandi online,sistema rendicontazione chiaramente concepito essere molto rigido può andar bene solo perfetto perfetto non non_gestire non_eccezioni non_diventa non_difficile non_documenti non_richiesti non_numerose non_volte non_alcuni non_template non_danno non_problemi non_fase non_compilazione non_rendicontazione non_impostata non_richiede non_carico non_lavoro non_sconsiderato non_carico non_beneficiari non_rendicontazione non_chiesto non_settimana non_lavoro non_due non_persone non_pur non_consulente non_esterno non_trattandosi non_benefici non_aumento non_competitività non_aziende non_lombarde non_opportuno non_maggiore non_riguardo non_carico non_lavoro non_evitare non_ripetizione non_attività non non_strettamente non_necessarie non_generale non_approccio non_contrasto non_frodi non_perseguito non_tramite non_accanimento non_burocratico non_serve non_solo non_ingolfare non_sistema non_produttivo non_sotto non_attività non_effimere non_diminuiscono non_competitività non_tessuto non_produttivo non_servono non_invece non_attività non_controllo non_efficaci non non_invasive non_supporto non_aziende non_efficaci non_contrasto non_frodi non_condotte non_funzionari non_altamente non_qualificati non_giustamente non_retribuiti,0
bando accumulo anno 2017,siage,grazie,1
e di nuovo sport,bandi online,cosa sola sistema rendicontazione potrebbe essere po snello segnalando quali eventuali dati mancanti evidenziando voce riferiscono caricato oltre 100 voci spesa errore mancava completamento qualche campo dovuto ripassare tutte voci trovare mancanze resto buona piattaforma informatica,1
biblioteche ed archivi storici 2019 spese correnti,bandi online,ritengo buono livello bando gestione rispondente dichiarato stesso conforme aspettative non non_eccessivamente non_difficoltoso non_utilizzare,1
smaltimento amianto anno 2019,bandi online,semplice chiaro,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,consegna ats riferimento scomoda logistica,0
musei 2016,siage,non non_riscontrato non_difficoltà non_apparato non_informazioni non_funzionamento non_software,1
e di nuovo sport,bandi online,necessita comunque conoscenza informatica elastica perchè bando specie fase rendicontazione stato diverso precedenti comunque bene,1
contributi asd ssd linea 1 e linea 2 2017,siage,troppo macchinosa lenta procedura rendicontazione,0
e di nuovo sport,bandi online,complessivamente bene parte rendicontazione molto onerosa dover inserire solo file significa metterli insieme doverli modificare voci dettaglio ripetere n volte stesso fornitore quindi vuole molto tempo meglio caricare fornitore documenti spese modo non non_dovere non_replicare non_dati non_anagrafici non_personalmente non non_riuscito non_inserire non_tutte non_spese,1
turismoeattrattivita,siage,ottima cosa migliore struttura competitivi mercato,1
sicurezza_urbana_lotto_a_2017,siage,tempistiche realizzare progetti troppo brevi rispetto tempi richiesti procedure acquisto determinati beni servizi tempi concessi infatti non non_stato non_possibile non_aderire non_convenzioni non_consip non_acquisto non_autoveicoli non_né non_videosorveglianza,0
e di nuovo sport,bandi online,bando buono tuttavia caricare rendicontazione passaggi ridondanti soprattutto sistema tratta fornitori campi obbligatori vengono poi evidenziati solo ultima fase,1
bando accumulo anno 2017,siage,piattaforma allucinante anziché favorire soluzione elettronica remoto semplificare vita cittadino rendere intero processo efficiente fa perdere molto tempo dovuti andare sportello fisico piattaforma orrenda altro user experience,0
rinnova autoveicoli,bandi online,non non_riuscivo non_accedere non_seconda non_fase non_rendicontazione,0
rinnova autoveicoli,bandi online,dovrebbe essere semplice migliorabile,1
e di nuovo sport,bandi online,ritengo fase rendicontazione debba essere migliorata riguarda associazione stata fase molto complicata parte relativa compilazione dati parte riguardante raccolta documenti innanzitutto trovato format molto rigido categorizzazione varie opzioni molte spese soprattutto caso associazione sportiva non non_trovano non_riscontro non_usuali non_documenti non_contabili non_fatture non_ricevute non_ciò non_comportato non_necessità non_predisporre non_note non_spiegare non_singole non_fattispecie non_sempre non_tal non_senso non_bisognerebbe non_adattare non_format non_specificità non_soggetto non_richiedente non_fare non_esempio non_costi non_tesseramento non_dovuti non_fip non_pagati non_unitamente non_costi non_iscrizione non_tasse non_gare non_quindi non_impossibile non_produrre non_documento non_giustificativo non_soli non_costi non_inoltre non_trovato non_molto non_complicato non_dispensioso non_set non_documenti non_richiesti non_soluzione non_compromesso non_potrebbe non_pensare non_deposito non_sole non_quietanze non_dedicare non_verifica non_approfondita non_sede non_istruttoria non_magari non_campione non_ogni non_caso non_suggerisce non_messa non_disposizione non_guida non_spiegazione non_vari non_passaggi non_spiegare non_forzare non_sistema non_qualora non_informazione non_prevista non_obbligatoria non non_disponibile non_esempio non non_fornitori non_partita non_iva non_infine non_merito non_bando non_risultata non_poco non_chiara non_ratio non_esclusione non_alcuni non_costi non_derivanti non_attività non_essenziali non_associazione non_sporiva non_quali non_esempio non_spese non_legate non_manutenzione non_defibrillatori non_prodotti non_medicali non_cerotti non_ghiaccio non_bende non_voci non_ordinaria non_amministrazione non_incidono non_conti non_associazione non_oltre non_100 non_tesserate,0
contributi asd ssd linea 1 e linea 2 2017,siage,basterebbe inglobare unica schermata descrizione allegazione rendere semplici cose,0
valorizzazione_aree_archeologiche_2017,siage,documenti richiesti caricare piattaforma siage bando unesco ragionevoli semplici caricare utile poter caricare documenti pesanti 5mb,1
turismoeattrattivita,siage,soddisfatto,1
faber ii ed,bandi online,utilissimo favorire nuovi investimenti,1
contributi asd ssd linea 1 e linea 2 2017,siage,punto vista complessivo pur condivisibile rigorosità rendicontazione gestione bando apprezzabile opportuno fare qualche riflessione merito requisiti generali ripartizione fondi bando destinati varie federazioni discipline sportive basano prevalentemente numeri praticanti tesserati bisognerebbe prendere considerazione introduzione algoritmi tengano conto complessità singole discipline termini costi gestione investimenti necessari esempio far giocare calcio 22 ragazzini basta campo pallone avviare canottaggio vela 22 ragazzi necessari notevoli investimenti imbarcazioni attrezzature costi gestione allenamenti sicurezza acqua nonchè ricorso istruttori qualificati secondo standard federazioni,1
